Data,Otwarcie,Najwyższy,Najniższy,Zamknięcie,Ticker
2006-10-10,4.11,4.11,4.11,4.11,WIBOR_ON
2006-10-10,4.42,4.42,4.42,4.42,WIBOR_6M
2006-10-10,4.23,4.23,4.23,4.23,WIBOR_3M
2006-10-10,4.15,4.15,4.15,4.15,WIBOR_1M
2006-10-10,3.94,3.94,3.94,3.94,WIBID_ON
2006-10-09,4.12,4.12,4.12,4.12,WIBOR_ON
2006-10-09,4.42,4.42,4.42,4.42,WIBOR_6M
2006-10-09,4.23,4.23,4.23,4.23,WIBOR_3M
2006-10-09,4.13,4.13,4.13,4.13,WIBOR_1M
2006-10-09,3.96,3.96,3.96,3.96,WIBID_ON
2006-10-06,4.12,4.12,4.12,4.12,WIBOR_ON
2006-10-06,4.44,4.44,4.44,4.44,WIBOR_6M
2006-10-06,4.22,4.22,4.22,4.22,WIBOR_3M
2006-10-06,4.13,4.13,4.13,4.13,WIBOR_1M
2006-10-06,3.97,3.97,3.97,3.97,WIBID_ON
2006-10-05,4.14,4.14,4.14,4.14,WIBOR_ON
2006-10-05,4.44,4.44,4.44,4.44,WIBOR_6M
2006-10-05,4.24,4.24,4.24,4.24,WIBOR_3M
2006-10-05,4.14,4.14,4.14,4.14,WIBOR_1M
2006-10-05,3.98,3.98,3.98,3.98,WIBID_ON
2006-10-04,4.17,4.17,4.17,4.17,WIBOR_ON
2006-10-04,4.45,4.45,4.45,4.45,WIBOR_6M
2006-10-04,4.23,4.23,4.23,4.23,WIBOR_3M
2006-10-04,4.15,4.15,4.15,4.15,WIBOR_1M
2006-10-04,3.99,3.99,3.99,3.99,WIBID_ON
2006-10-03,4.12,4.12,4.12,4.12,WIBOR_ON
2006-10-03,4.44,4.44,4.44,4.44,WIBOR_6M
2006-10-03,4.23,4.23,4.23,4.23,WIBOR_3M
2006-10-03,4.15,4.15,4.15,4.15,WIBOR_1M
2006-10-03,3.97,3.97,3.97,3.97,WIBID_ON
2006-10-02,4.11,4.11,4.11,4.11,WIBOR_ON
2006-10-02,4.44,4.44,4.44,4.44,WIBOR_6M
2006-10-02,4.22,4.22,4.22,4.22,WIBOR_3M
2006-10-02,4.14,4.14,4.14,4.14,WIBOR_1M
2006-10-02,3.95,3.95,3.95,3.95,WIBID_ON
2006-09-29,3.47,3.47,3.47,3.47,WIBOR_ON
2006-09-29,4.43,4.43,4.43,4.43,WIBOR_6M
2006-09-29,4.22,4.22,4.22,4.22,WIBOR_3M
2006-09-29,4.13,4.13,4.13,4.13,WIBOR_1M
2006-09-29,3.17,3.17,3.17,3.17,WIBID_ON
2006-09-28,3.28,3.28,3.28,3.28,WIBOR_ON
2006-09-28,4.41,4.41,4.41,4.41,WIBOR_6M
2006-09-28,4.21,4.21,4.21,4.21,WIBOR_3M
2006-09-28,4.13,4.13,4.13,4.13,WIBOR_1M
2006-09-28,2.98,2.98,2.98,2.98,WIBID_ON
2006-09-27,3.47,3.47,3.47,3.47,WIBOR_ON
2006-09-27,4.41,4.41,4.41,4.41,WIBOR_6M
2006-09-27,4.2,4.2,4.2,4.2,WIBOR_3M
2006-09-27,4.13,4.13,4.13,4.13,WIBOR_1M
2006-09-27,3.17,3.17,3.17,3.17,WIBID_ON
2006-09-26,3.83,3.83,3.83,3.83,WIBOR_ON
2006-09-26,4.41,4.41,4.41,4.41,WIBOR_6M
2006-09-26,4.21,4.21,4.21,4.21,WIBOR_3M
2006-09-26,4.13,4.13,4.13,4.13,WIBOR_1M
2006-09-26,3.53,3.53,3.53,3.53,WIBID_ON
2006-09-25,4.06,4.06,4.06,4.06,WIBOR_ON
2006-09-25,4.42,4.42,4.42,4.42,WIBOR_6M
2006-09-25,4.22,4.22,4.22,4.22,WIBOR_3M
2006-09-25,4.13,4.13,4.13,4.13,WIBOR_1M
2006-09-25,3.82,3.82,3.82,3.82,WIBID_ON
2006-09-22,4.1,4.1,4.1,4.1,WIBOR_ON
2006-09-22,4.41,4.41,4.41,4.41,WIBOR_6M
2006-09-22,4.21,4.21,4.21,4.21,WIBOR_3M
2006-09-22,4.13,4.13,4.13,4.13,WIBOR_1M
2006-09-22,3.96,3.96,3.96,3.96,WIBID_ON
2006-09-21,4.09,4.09,4.09,4.09,WIBOR_ON
2006-09-21,4.4,4.4,4.4,4.4,WIBOR_6M
2006-09-21,4.21,4.21,4.21,4.21,WIBOR_3M
2006-09-21,4.13,4.13,4.13,4.13,WIBOR_1M
2006-09-21,3.94,3.94,3.94,3.94,WIBID_ON
2006-09-20,4.11,4.11,4.11,4.11,WIBOR_ON
2006-09-20,4.41,4.41,4.41,4.41,WIBOR_6M
2006-09-20,4.22,4.22,4.22,4.22,WIBOR_3M
2006-09-20,4.14,4.14,4.14,4.14,WIBOR_1M
2006-09-20,3.96,3.96,3.96,3.96,WIBID_ON
2006-09-19,4.11,4.11,4.11,4.11,WIBOR_ON
2006-09-19,4.41,4.41,4.41,4.41,WIBOR_6M
2006-09-19,4.23,4.23,4.23,4.23,WIBOR_3M
2006-09-19,4.14,4.14,4.14,4.14,WIBOR_1M
2006-09-19,3.97,3.97,3.97,3.97,WIBID_ON
2006-09-18,4.11,4.11,4.11,4.11,WIBOR_ON
2006-09-18,4.4,4.4,4.4,4.4,WIBOR_6M
2006-09-18,4.21,4.21,4.21,4.21,WIBOR_3M
2006-09-18,4.12,4.12,4.12,4.12,WIBOR_1M
2006-09-18,3.96,3.96,3.96,3.96,WIBID_ON
2006-09-15,4.1,4.1,4.1,4.1,WIBOR_ON
2006-09-15,4.4,4.4,4.4,4.4,WIBOR_6M
2006-09-15,4.21,4.21,4.21,4.21,WIBOR_3M
2006-09-15,4.12,4.12,4.12,4.12,WIBOR_1M
2006-09-15,3.95,3.95,3.95,3.95,WIBID_ON
2006-09-14,4.09,4.09,4.09,4.09,WIBOR_ON
2006-09-14,4.37,4.37,4.37,4.37,WIBOR_6M
2006-09-14,4.2,4.2,4.2,4.2,WIBOR_3M
2006-09-14,4.12,4.12,4.12,4.12,WIBOR_1M
2006-09-14,3.93,3.93,3.93,3.93,WIBID_ON
2006-09-13,4.09,4.09,4.09,4.09,WIBOR_ON
2006-09-13,4.36,4.36,4.36,4.36,WIBOR_6M
2006-09-13,4.21,4.21,4.21,4.21,WIBOR_3M
2006-09-13,4.13,4.13,4.13,4.13,WIBOR_1M
2006-09-13,3.93,3.93,3.93,3.93,WIBID_ON
2006-09-12,4.1,4.1,4.1,4.1,WIBOR_ON
2006-09-12,4.36,4.36,4.36,4.36,WIBOR_6M
2006-09-12,4.2,4.2,4.2,4.2,WIBOR_3M
2006-09-12,4.13,4.13,4.13,4.13,WIBOR_1M
2006-09-12,3.96,3.96,3.96,3.96,WIBID_ON
2006-09-11,4.11,4.11,4.11,4.11,WIBOR_ON
2006-09-11,4.36,4.36,4.36,4.36,WIBOR_6M
2006-09-11,4.21,4.21,4.21,4.21,WIBOR_3M
2006-09-11,4.14,4.14,4.14,4.14,WIBOR_1M
2006-09-11,3.96,3.96,3.96,3.96,WIBID_ON
2006-09-08,4.1,4.1,4.1,4.1,WIBOR_ON
2006-09-08,4.36,4.36,4.36,4.36,WIBOR_6M
2006-09-08,4.21,4.21,4.21,4.21,WIBOR_3M
2006-09-08,4.13,4.13,4.13,4.13,WIBOR_1M
2006-09-08,3.96,3.96,3.96,3.96,WIBID_ON
2006-09-07,4.09,4.09,4.09,4.09,WIBOR_ON
2006-09-07,4.35,4.35,4.35,4.35,WIBOR_6M
2006-09-07,4.21,4.21,4.21,4.21,WIBOR_3M
2006-09-07,4.12,4.12,4.12,4.12,WIBOR_1M
2006-09-07,3.94,3.94,3.94,3.94,WIBID_ON
2006-09-06,4.1,4.1,4.1,4.1,WIBOR_ON
2006-09-06,4.31,4.31,4.31,4.31,WIBOR_6M
2006-09-06,4.2,4.2,4.2,4.2,WIBOR_3M
2006-09-06,4.13,4.13,4.13,4.13,WIBOR_1M
2006-09-06,3.94,3.94,3.94,3.94,WIBID_ON
2006-09-05,4.1,4.1,4.1,4.1,WIBOR_ON
2006-09-05,4.31,4.31,4.31,4.31,WIBOR_6M
2006-09-05,4.2,4.2,4.2,4.2,WIBOR_3M
2006-09-05,4.13,4.13,4.13,4.13,WIBOR_1M
2006-09-05,3.93,3.93,3.93,3.93,WIBID_ON
2006-09-04,4.1,4.1,4.1,4.1,WIBOR_ON
2006-09-04,4.31,4.31,4.31,4.31,WIBOR_6M
2006-09-04,4.2,4.2,4.2,4.2,WIBOR_3M
2006-09-04,4.12,4.12,4.12,4.12,WIBOR_1M
2006-09-04,3.92,3.92,3.92,3.92,WIBID_ON
2006-09-01,4.1,4.1,4.1,4.1,WIBOR_ON
2006-09-01,4.3,4.3,4.3,4.3,WIBOR_6M
2006-09-01,4.2,4.2,4.2,4.2,WIBOR_3M
2006-09-01,4.12,4.12,4.12,4.12,WIBOR_1M
2006-09-01,3.94,3.94,3.94,3.94,WIBID_ON
2006-08-31,4.09,4.09,4.09,4.09,WIBOR_ON
2006-08-31,4.3,4.3,4.3,4.3,WIBOR_6M
2006-08-31,4.19,4.19,4.19,4.19,WIBOR_3M
2006-08-31,4.12,4.12,4.12,4.12,WIBOR_1M
2006-08-31,3.94,3.94,3.94,3.94,WIBID_ON
2006-08-30,2.81,2.81,2.81,2.81,WIBOR_ON
2006-08-30,4.3,4.3,4.3,4.3,WIBOR_6M
2006-08-30,4.19,4.19,4.19,4.19,WIBOR_3M
2006-08-30,4.13,4.13,4.13,4.13,WIBOR_1M
2006-08-30,2.51,2.51,2.51,2.51,WIBID_ON
2006-08-29,3.92,3.92,3.92,3.92,WIBOR_ON
2006-08-29,4.3,4.3,4.3,4.3,WIBOR_6M
2006-08-29,4.2,4.2,4.2,4.2,WIBOR_3M
